1.7e-06	1.7e-06	-1e-05	0	0
0.0001717	0.0001717	-0.00101	0	0
0.0003417	0.0003417	-0.00201	0	0
0.0005117	0.0005117	-0.00301	0	0
0.0006817	0.0006817	-0.00401	0	0
0.0008517	0.0008517	-0.00501	0	0
0.0010217	0.0010217	-0.00601	0	0
0.0011917	0.0011917	-0.00701	0	0
0.0013617	0.0013617	-0.00801	0	0
0.0015317	0.0015317	-0.00901	0	0
0.00175088	0.00175088	-0.01001	-4.49729e-07	1.3925e-05
0.00222825	0.00222825	-0.01101	-4.50811e-07	1.39243e-05
0.00270556	0.00270556	-0.01201	-4.51884e-07	1.39237e-05
0.00318281	0.00318281	-0.01301	-4.52946e-07	1.3923e-05
0.00366	0.00366	-0.01401	-4.53999e-07	1.39224e-05
0.00413714	0.00413714	-0.01501	-4.55041e-07	1.39218e-05
0.00461422	0.00461422	-0.01601	-4.56074e-07	1.39211e-05
0.00509125	0.00509125	-0.01701	-4.57097e-07	1.39205e-05
0.00556823	0.00556823	-0.01801	-4.5811e-07	1.39199e-05
0.00604515	0.00604515	-0.01901	-4.59114e-07	1.39193e-05
0.00652201	0.00652201	-0.02001	-4.60108e-07	1.39187e-05
0.00699883	0.00699883	-0.02101	-4.61092e-07	1.39181e-05
0.00747559	0.00747559	-0.02201	-4.62066e-07	1.39175e-05
0.0079523	0.0079523	-0.02301	-4.63032e-07	1.39169e-05
0.00842896	0.00842896	-0.02401	-4.63987e-07	1.39163e-05
0.00890557	0.00890557	-0.02501	-4.64934e-07	1.39157e-05
0.00938213	0.00938213	-0.02601	-4.6587e-07	1.39151e-05
0.00985864	0.00985864	-0.02701	-4.66798e-07	1.39146e-05
0.0103351	0.0103351	-0.02801	-4.67716e-07	1.3914e-05
0.0108115	0.0108115	-0.02901	-4.68625e-07	1.39134e-05
0.0112879	0.0112879	-0.03001	-4.69525e-07	1.39129e-05
0.0117642	0.0117642	-0.03101	-4.70416e-07	1.39123e-05
