16-8				
p	q	astrain	rstrain1	rstrain2
2505.4916	11.9568	0	0	0
2510.291867	26.3576	-9.01E-07	0	0
2519.8924	55.1592	2.6642E-05	0	0
2514.609633	55.1509	-2.535E-06	3.48E-07	3.48E-07
2531.8931	91.1613	0.000053717	0	0
2536.693333	105.562	5.2817E-05	0	0
2532.262667	105.554	5.2984E-05	-1.9906E-05	3.48E-07
2546.294	134.364	8.036E-05	-2.0255E-05	0
2551.094333	148.765	7.9426E-05	0	0
2551.946333	148.765	7.9426E-05	-2.0255E-05	0
2556.746333	163.165	7.8526E-05	-2.0255E-05	0
2554.346333	155.965	0.000108336	-2.0255E-05	-2.0375E-05
2551.463667	163.157	0.000108069	-1.9906E-05	3.48E-07
2565.495	191.967	0.000135411	-2.0255E-05	0
2573.547333	213.568	0.000134044	-2.0255E-05	-2.0375E-05
2573.547333	213.568	0.000134044	-2.0255E-05	-2.0375E-05
2570.664667	220.76	0.000163121	-1.9906E-05	-2.0027E-05
2572.213	227.961	0.00019203	-1.9906E-05	-2.0027E-05
2587.096333	256.771	0.00019003	-2.0255E-05	-2.0375E-05
2590.348333	263.971	0.000189563	-2.0255E-05	-2.0375E-05
2585.065667	263.963	0.000189763	-1.9906E-05	-2.0027E-05
2590.348333	263.971	0.000189563	-2.0255E-05	-2.0375E-05
2592.748667	271.172	0.000218472	-2.0255E-05	-2.0375E-05
2604.749333	307.174	0.000245548	-2.0255E-05	-2.0375E-05
2601.497	299.973	0.000246015	-2.0255E-05	-2.0375E-05
2597.066333	299.965	0.000216838	-1.9906E-05	-2.0027E-05
2611.097667	328.775	0.000244181	-2.0255E-05	-2.0375E-05
2608.697333	321.574	0.000244648	-0.000040516	-2.0375E-05
2608.697333	321.574	0.000273991	-0.000040516	-2.0375E-05
2616.75	343.176	0.000301967	-0.000040516	-2.0375E-05
2620.698	357.576	0.000271723	-0.000040516	-2.0375E-05
2620.215667	371.969	0.000300333	-4.0167E-05	-2.0027E-05
2627.898667	379.178	0.000299699	-0.000040516	-2.0375E-05
2625.498333	371.977	0.000329509	-0.000040516	-2.0375E-05
2630.298667	386.378	0.000328609	-0.000040516	-2.0375E-05
2635.099	400.779	0.000357052	-0.000040516	-4.0744E-05
2639.416667	429.572	0.000355418	-4.0167E-05	-2.0027E-05
2641.817	436.773	0.000354951	-4.0167E-05	-2.0027E-05
2641.817	436.773	0.000384294	-4.0167E-05	-2.0027E-05
2645.551667	429.581	0.000384594	-0.000040516	-4.0744E-05
2646.617	451.173	0.000412737	-4.0167E-05	-4.0395E-05
2656.700333	465.583	0.00041167	-0.000040516	-4.0744E-05
2663.900667	487.184	0.000410303	-0.000040516	-4.0744E-05
2662.352333	479.983	0.00041077	-6.0777E-05	-4.0744E-05
2668.701	501.585	0.000438746	-6.0777E-05	-4.0744E-05
2669.553	501.585	0.000468089	-6.0777E-05	-4.0744E-05
2663.418	501.576	0.000438913	-6.0422E-05	-4.0395E-05
2671.470667	523.178	0.000466922	-6.0422E-05	-4.0395E-05
2673.501	515.985	0.000467189	-6.0777E-05	-4.0744E-05
2683.101667	544.787	0.000494731	-6.0777E-05	-4.0744E-05
2680.701667	537.587	0.000495165	-6.0777E-05	-4.0744E-05
2677.819	544.779	0.000494898	-6.0422E-05	-4.0395E-05
2685.502	551.988	0.000494264	-6.0777E-05	-4.0744E-05
2689.819667	580.781	0.000521974	-6.0422E-05	-4.0395E-05
2699.902667	595.19	0.00055025	-6.0777E-05	-4.0744E-05
2689.819667	580.781	0.000551317	-6.0422E-05	-4.0395E-05
2699.902667	595.19	0.00055025	-6.0777E-05	-4.0744E-05
2709.503333	623.992	0.000548416	-6.0777E-05	-4.0744E-05
2719.103667	652.793	0.000605301	-6.0777E-05	-4.0744E-05
2716.703667	645.593	0.000576425	-6.0777E-05	-4.0744E-05
2711.903333	631.192	0.000577325	-6.0777E-05	-4.0744E-05
2717.073	659.985	0.000605035	-6.0422E-05	-4.0395E-05
2719.103667	652.793	0.000605301	-6.0777E-05	-4.0744E-05
2716.703667	645.593	0.000635111	-6.0777E-05	-4.0744E-05
2718.621333	667.186	0.000633911	-6.0422E-05	-4.0395E-05
2731.104333	688.795	0.00063241	-6.0777E-05	-6.1119E-05
2729.556333	681.595	0.000632844	-6.0777E-05	-4.0744E-05
2733.874	710.388	0.000660553	-6.0422E-05	-6.0771E-05
2735.904667	703.196	0.00066082	-8.1031E-05	-6.1119E-05
2733.022	710.388	0.000689896	-6.0422E-05	-6.0771E-05
2737.822333	724.789	0.000688996	-6.0422E-05	-6.0771E-05
2746.357333	731.998	0.000688362	-8.1031E-05	-6.1119E-05
2749.823	760.791	0.000716072	-8.0683E-05	-6.0771E-05
2757.506	768	0.000744814	-8.1031E-05	-6.1119E-05
2757.506	768	0.000744814	-8.1031E-05	-6.1119E-05
2757.506	768	0.000744814	-8.1031E-05	-6.1119E-05
2759.906	775.2	0.000744348	-8.1031E-05	-6.1119E-05
2767.106333	796.801	0.000772324	-8.1031E-05	-6.1119E-05
