16-12				
p	q	astrain	rstrain1	rstrain2
1007.053533	16.7566	0	0	0
1009.450433	23.9473	-4.66E-07	0	-2.0355E-05
1008.598433	23.9473	-4.66E-07	0	0
1008.598433	23.9473	-4.66E-07	0	0
1015.789233	45.5197	0.000027427	0	-2.0355E-05
1015.300267	59.8928	2.6715E-05	3.61E-07	-2E-05
1020.583067	59.9012	5.5783E-05	0	-2.0355E-05
1025.376933	74.2828	5.4855E-05	0	-2.0355E-05
1026.228933	74.2828	5.4855E-05	0	-2.0355E-05
1025.376933	74.2828	5.4855E-05	0	0
1028.625833	81.4735	8.3677E-05	0	-2.0355E-05
1033.4197	95.8551	0.000082745	0	-2.0355E-05
1028.625833	81.4735	8.3677E-05	0	-2.0355E-05
1034.964667	103.046	0.00011157	-2.0248E-05	-2.0355E-05
1045.404333	131.809	0.000109707	-2.0248E-05	0
1030.170767	88.6643	0.00014179	0	-2.0355E-05
1035.816667	103.046	0.000140858	0	-2.0355E-05
1032.930667	110.228	0.000140612	-1.9886E-05	-2E-05
1042.155333	124.618	0.000168752	0	-2.0355E-05
1046.949333	139	0.00016782	-2.0248E-05	-2.0355E-05
1045.404333	131.809	0.000168286	-2.0248E-05	-2.0355E-05
1034.475667	117.419	0.000198725	-1.9886E-05	-2E-05
1046.949333	139	0.000197108	-2.0248E-05	-2.0355E-05
1046.949333	139	0.000226396	0	-2.0355E-05
1049.346	146.19	0.00022593	0	-2.0355E-05
1056.537	167.763	0.000253823	-2.0248E-05	-2.0355E-05
1056.537	167.763	0.000224535	-2.0248E-05	-2.0355E-05
1059.786	174.954	0.000253357	-2.0248E-05	-2.0355E-05
1066.976667	196.526	0.000251963	-2.0248E-05	-2.0355E-05
1061.330667	182.144	0.000252892	-2.0248E-05	-2.0355E-05
1061.330667	182.144	0.000282179	-2.0248E-05	-2.0355E-05
1066.976667	196.526	0.000310539	-2.0248E-05	-2.0355E-05
1064.579667	189.335	0.000311005	-2.0248E-05	-0.000040717
1068.521667	203.717	0.000310073	-2.0248E-05	-2.0355E-05
1068.032667	218.09	0.000338652	-1.9886E-05	-2E-05
1070.918333	210.907	0.000338895	-2.0248E-05	-2.0355E-05
1070.918333	210.907	0.000338895	-2.0248E-05	-2.0355E-05
1068.521667	203.717	0.000339361	-2.0248E-05	-2.0355E-05
1063.238667	203.708	0.000368872	-1.9886E-05	-2E-05
1078.109333	232.48	0.000366788	-2.0248E-05	-2.0355E-05
1082.903	246.861	0.000395148	-2.0248E-05	-2.0355E-05
1081.358333	239.671	0.000366322	-2.0248E-05	-2.0355E-05
1080.506333	239.671	0.000424902	-2.0248E-05	-2.0355E-05
1080.506333	239.671	0.00039561	-2.0248E-05	-2.0355E-05
1090.094	268.434	0.000423038	-2.0248E-05	-2.0355E-05
1094.887667	282.815	0.000451397	-2.0248E-05	-0.000040717
1088.06	275.616	0.000422792	-1.9886E-05	-4.0355E-05
1093.342667	275.624	0.000451863	-2.0248E-05	-2.0355E-05
1090.094	268.434	0.000481617	-2.0248E-05	-2.0355E-05
1094.887667	282.815	0.000480685	-2.0248E-05	-0.000040717
1100.533667	297.197	0.000479753	-2.0248E-05	-2.0355E-05
1105.327333	311.578	0.000508113	-2.0248E-05	-0.000040717
1100.533667	297.197	0.000509041	-2.0248E-05	-0.000040717
1102.078667	304.388	0.000508575	-2.0248E-05	-2.0355E-05
1109.269333	325.96	0.000536469	-2.0248E-05	-0.000040717
1114.915	340.341	0.000535537	-2.0248E-05	-0.000040717
1107.235333	333.142	0.000536223	-1.9886E-05	-4.0355E-05
1112.518333	333.151	0.000536003	-2.0248E-05	-0.000040717
1114.063	340.341	0.000564828	-2.0248E-05	-0.000040717
1117.312	347.532	0.00059365	-2.0248E-05	-0.000040717
1116.46	347.532	0.00059365	-2.0248E-05	-0.000040717
1121.254	361.914	0.000592718	-2.0248E-05	-0.000040717
1126.047667	376.295	0.00059179	-2.0248E-05	-0.000040717
1121.254	361.914	0.000622006	-2.0248E-05	-0.000040717
1124.503	369.105	0.000621544	-2.0248E-05	-0.000040717
1118.368	369.096	0.000621763	-1.9886E-05	-4.0355E-05
1130.841667	390.677	0.000649434	-2.0248E-05	-0.000040717
1135.635333	405.058	0.000648506	-2.0248E-05	-0.000040717
1126.899667	376.295	0.000650366	-2.0248E-05	-0.000040717
1136.487333	405.058	0.000677793	-2.0248E-05	-0.000040717
1135.635333	405.058	0.000677793	-4.0489E-05	-0.000040717
1138.032333	412.249	0.000706615	-4.0489E-05	-0.000040717
1136.487333	405.058	0.000707081	-4.0489E-05	-0.000040717
1146.075	433.821	0.000734509	-2.0248E-05	-0.000040717
1140.429333	419.44	0.000706149	-2.0248E-05	-0.000040717
1138.032333	412.249	0.000735903	-2.0248E-05	-0.000040717
1140.429333	419.44	0.000735437	-2.0248E-05	-0.000040717
1145.223	433.821	0.000763797	-4.0489E-05	-0.000040717
1145.223	433.821	0.000763797	-4.0489E-05	-0.000040717
1144.734333	448.195	0.000763085	-4.0134E-05	-4.0355E-05
1150.017	448.203	0.000792153	-2.0248E-05	-0.000040717
1153.266	455.394	0.000791687	-4.0489E-05	-0.000040717
1154.811	462.585	0.000820512	-2.0248E-05	-0.000040717
1160.456667	476.966	0.00081958	-4.0489E-05	-0.000040717
1158.059667	469.775	0.000820046	-4.0489E-05	-0.000040717
1156.719	484.149	0.000819334	-4.0134E-05	-4.0355E-05
1159.604667	476.966	0.00081958	-4.0489E-05	-0.000040717
1162.853667	484.157	0.000848402	-4.0489E-05	-0.000040717
1164.398667	491.348	0.00084794	-4.0489E-05	-0.000040717
1172.441333	512.92	0.00087583	-4.0489E-05	-0.000040717
1169.192333	505.729	0.000876296	-2.0248E-05	-6.1071E-05
1169.192333	505.729	0.000876296	-4.0489E-05	-0.000040717
1170.044333	505.729	0.000905584	-4.0489E-05	-0.000040717
1173.986333	520.111	0.000904655	-4.0489E-05	-6.1071E-05
1172.441333	512.92	0.000934409	-4.0489E-05	-0.000040717
1166.306667	512.912	0.000934629	-4.0134E-05	-4.0355E-05
1177.235333	527.302	0.000933477	-4.0489E-05	-6.1071E-05
1183.574	548.874	0.000961371	-4.0489E-05	-0.000040717
1182.029	541.683	0.000961833	-4.0489E-05	-0.000040717
1188.367667	563.255	0.000960439	-4.0489E-05	-6.1071E-05
1184.426	548.874	0.000990659	-4.0489E-05	-6.1071E-05
1191.616667	570.446	0.000989261	-4.0489E-05	-6.1071E-05
1193.161667	577.637	0.000988795	-4.0489E-05	-6.1071E-05
1183.085	563.247	0.001019224	-4.0134E-05	-6.0717E-05
1196.410667	584.828	0.001017627	-4.0489E-05	-6.1071E-05
1197.955667	592.019	0.001046446	-4.0489E-05	-6.1071E-05
1195.558667	584.828	0.001046911	-4.0489E-05	-6.1071E-05
1192.672667	592.01	0.001046679	-4.0134E-05	-6.0717E-05
1200.352333	599.209	0.001075264	-4.0489E-05	-6.1071E-05
1205.998333	613.591	0.001074332	-4.0489E-05	-6.1071E-05
1210.792	627.972	0.001102685	-4.0489E-05	-6.1071E-05
1207.543333	620.782	0.001103151	-4.0489E-05	-6.1071E-05
1203.112333	620.773	0.001103384	-6.0375E-05	-6.0717E-05
1212.337	635.163	0.001102219	-4.0489E-05	-6.1071E-05
1213.189	635.163	0.001102219	-4.0489E-05	-6.1071E-05
1207.906333	635.155	0.001131737	-4.0134E-05	-6.0717E-05
1217.131	649.545	0.001159857	-4.0489E-05	-6.1071E-05
1221.924667	663.926	0.001158958	-0.000060736	-6.1071E-05
1217.494	663.918	0.001159158	-4.0134E-05	-6.0717E-05
1226.718667	678.308	0.001158026	-0.000060736	-6.1071E-05
1221.924667	663.926	0.001158958	-0.000060736	-6.1071E-05
1229.115667	685.499	0.001186845	-0.000060736	-6.1071E-05
1231.512333	692.689	0.001215664	-0.000060736	-8.1433E-05
1237.158333	707.071	0.001214732	-0.000060736	-6.1071E-05
1237.158333	707.071	0.001214732	-0.000060736	-6.1071E-05
1236.306333	707.071	0.001244016	-0.000060736	-6.1071E-05
1239.555333	714.262	0.00124355	-0.000060736	-6.1071E-05
1245.894	735.834	0.001271437	-0.000060736	-8.1433E-05
1241.1	721.452	0.001243085	-0.000060736	-6.1071E-05
1250.688	750.216	0.001270506	-4.0489E-05	-8.1433E-05
1250.688	750.216	0.00129979	-0.000060736	-6.1071E-05
1253.936667	757.406	0.001299324	-0.000060736	-8.1433E-05
1250.688	750.216	0.00129979	-0.000060736	-8.1433E-05
1255.481667	764.597	0.001328143	-0.000060736	-8.1433E-05
1256.333667	764.597	0.001328143	-0.000060736	-8.1433E-05
1253.448	771.78	0.00132791	-6.0375E-05	-8.1071E-05
1257.878667	771.788	0.001327677	-0.000060736	-8.1433E-05
1260.638667	793.352	0.001355797	-6.0375E-05	-8.1071E-05
1262.672333	786.169	0.001326745	-0.000060736	-6.1071E-05
1267.466333	800.551	0.001355131	-0.000060736	-8.1433E-05
1267.466333	800.551	0.001384416	-0.000060736	-8.1433E-05
1270.715333	807.742	0.001413234	-0.000060736	-8.1433E-05
1265.432333	807.733	0.001384149	-8.0623E-05	-8.1071E-05
1282.7	843.696	0.001410905	-8.0977E-05	-8.1433E-05
1274.168	836.496	0.001411604	-8.0623E-05	-8.1071E-05
1281.848	843.696	0.001440189	-0.000060736	-8.1433E-05
1279.451	836.505	0.001440655	-0.000060736	-8.1433E-05
1283.756	865.26	0.001439025	-8.0623E-05	-8.1071E-05
1286.641667	858.077	0.001468542	-8.0977E-05	-8.1433E-05
1296.229333	886.84	0.001466679	-8.0977E-05	-0.000101794
1289.401667	879.641	0.001496662	-8.0623E-05	-8.1071E-05
1297.081333	886.84	0.001495963	-8.0977E-05	-0.000101794
1301.875333	901.222	0.001524349	-8.0977E-05	-0.000101794
1298.626333	894.031	0.001495497	-8.0977E-05	-0.000101794
1298.626333	894.031	0.001524815	-8.0977E-05	-0.000101794
1306.669	915.603	0.001552702	-8.0977E-05	-0.000101794
1309.066	922.794	0.001522951	-8.0977E-05	-0.000101794
1305.328333	929.977	0.00155197	-8.0623E-05	-0.000101433
1316.256667	944.366	0.001580123	-8.0977E-05	-0.000101794
1313.008	937.176	0.001580589	-8.0977E-05	-0.000101794
1317.801667	951.557	0.001579657	-8.0977E-05	-0.000101794
1312.519	951.549	0.00157989	-8.0623E-05	-0.000101433
1315.404667	944.366	0.001580123	-8.0977E-05	-0.000101794
1324.503667	987.503	0.001606845	-8.0623E-05	-0.000101433
1329.786333	987.511	0.001635897	-8.0977E-05	-0.000101794
1330.638333	987.511	0.001635897	-8.0977E-05	-0.000101794
1330.148	1001.88	0.001635198	-8.0623E-05	-0.000101433
1337.828	1009.08	0.001663783	-8.0977E-05	-0.000101794
1346.566	1037.85	0.00166192	-0.000101225	-0.000101794
1331.696	1009.08	0.001664016	-0.000100864	-0.000121794
1336.976	1009.08	0.001663783	-8.0977E-05	-0.000101794
1344.169333	1030.66	0.001691704	-0.000101225	-0.000122149
1351.359333	1052.23	0.00171959	-0.000101225	-0.000122149
1346.566	1037.85	0.001720522	-0.000101225	-0.000122149
1353.756	1059.42	0.001719124	-0.000101225	-0.000122149
1352.211333	1052.23	0.00171959	-0.000101225	-0.000122149
1364.194667	1088.18	0.001746545	-0.000101225	-0.000122149
1359.401333	1073.8	0.001747477	-0.000101225	-0.000122149
1363.342667	1088.18	0.001746545	-0.000101225	-0.000122149
1361.798	1080.99	0.001776296	-0.000101225	-0.000122149
1376.181333	1124.14	0.001802785	-0.000101225	-0.000122149
1368.136	1102.56	0.001804183	-0.000101225	-0.000122149
1384.916	1152.9	0.001830206	-0.000121473	-0.000122149
1378.088	1145.7	0.001830905	-0.000100864	-0.000121794
1384.916	1152.9	0.001830206	-0.000101225	-0.000122149
1374.839333	1138.51	0.001831371	-0.000100864	-0.000121794
1388.164667	1160.09	0.001859058	-0.000101225	-0.000122149
1388.164667	1160.09	0.001859058	-0.000101225	-0.000122149
1387.312667	1160.09	0.001859058	-0.000121473	-0.00014251
1392.958	1174.47	0.001858126	-0.000121473	-0.000122149
1399.296	1196.04	0.001886013	-0.000121473	-0.00014251
1402.544667	1203.23	0.001885547	-0.000121473	-0.00014251
1400.148	1196.04	0.001915298	-0.000121473	-0.00014251
1399.296	1196.04	0.001886013	-0.000121473	-0.00014251
1404.092667	1210.43	0.001914366	-0.000121473	-0.00014251
1411.282667	1232	0.001942253	-0.000121473	-0.00014251
1401.692667	1203.23	0.001944116	-0.000121473	-0.00014251
1419.324667	1253.57	0.001970139	-0.000121473	-0.00014251
1416.928	1246.38	0.001970605	-0.000121473	-0.00014251
1418.472667	1253.57	0.001970139	-0.000121473	-0.00014251
1423.266	1267.95	0.001969208	-0.000121473	-0.00014251
1419.324667	1253.57	0.001999424	-0.000121473	-0.00014251
1433.704667	1296.71	0.001996629	-0.000121473	-0.00014251
1428.911333	1282.33	0.002026845	-0.000141714	-0.00014251
1431.308	1289.52	0.002026379	-0.000121473	-0.00014251
1432.852667	1296.71	0.002025946	-0.000121473	-0.00014251
1432.852667	1296.71	0.002055231	-0.000141714	-0.00014251
1432.852667	1296.71	0.002055231	-0.000121473	-0.00014251
1442.442667	1325.48	0.002082652	-0.000141714	-0.00014251
1440.046	1318.29	0.002053833	-0.000141714	-0.00014251
1440.898	1318.29	0.002083118	-0.000141714	-0.00014251
1449.632667	1347.05	0.002081254	-0.000141714	-0.00014251
1446.746	1354.23	0.002110306	-0.000141359	-0.000142149
1452.029333	1354.24	0.002110073	-0.000141714	-0.000162865
1459.219333	1375.81	0.00213796	-0.000141714	-0.000162865
1454.426	1361.43	0.002138892	-0.000141714	-0.000162865
1456.822667	1368.62	0.002138426	-0.000121473	-0.000162865
1451.539333	1368.61	0.002167943	-0.000141359	-0.00016251
1461.616	1383	0.002166778	-0.000141714	-0.000162865
1461.129333	1397.38	0.00216608	-0.000141359	-0.00016251
1461.616	1383	0.002196063	-0.000141714	-0.000162865
1474.454667	1418.96	0.002193733	-0.000141714	-0.000162865
1472.058	1411.77	0.002194199	-0.000141714	-0.000162865
1471.206	1411.77	0.002223517	-0.000141714	-0.000162865
1471.206	1411.77	0.002223517	-0.000141714	-0.000162865
1475.999333	1426.15	0.002222585	-0.000141714	-0.000162865
1480.792667	1440.53	0.002221654	-0.000141714	-0.000162865
1490.379333	1469.29	0.002249075	-0.000141714	-0.000162865
1487.982667	1462.1	0.00224954	-0.000141714	-0.000183227
1484.041333	1447.72	0.002279757	-0.000141714	-0.000183227
1491.231333	1469.29	0.002278359	-0.000161961	-0.000183227
1490.379333	1469.29	0.002278359	-0.000141714	-0.000183227
1502.366	1505.25	0.00227603	-0.000161961	-0.000183227
1495.172667	1483.67	0.002306712	-0.000161961	-0.000183227
1502.366	1505.25	0.002334599	-0.000141714	-0.000183227
1511.952667	1534.01	0.002332735	-0.000161961	-0.000183227
1509.556	1526.82	0.002333201	-0.000161961	-0.000183227
1512.804667	1534.01	0.00236202	-0.000161961	-0.000183227
1509.556	1526.82	0.002362486	-0.000161961	-0.000183227
1514.349333	1541.2	0.002390872	-0.000161961	-0.000183227
1514.349333	1541.2	0.002390872	-0.000161961	-0.000183227
1519.994667	1555.58	0.00238994	-0.000161961	-0.000183227
1511.462667	1548.38	0.00241989	-0.000141359	-0.000182865
1529.584667	1584.35	0.002417361	-0.000161961	-0.000203581
1528.732667	1584.35	0.002417361	-0.000161961	-0.000183227
1528.732667	1584.35	0.002417361	-0.000161961	-0.000183227
1533.526	1598.73	0.002445713	-0.000161961	-0.000183227
1534.378	1598.73	0.002445713	-0.000161961	-0.000183227
1534.378	1598.73	0.002445713	-0.000161961	-0.000183227
1545.509333	1634.68	0.002472669	-0.000182202	-0.000203581
1533.036	1613.1	0.002503584	-0.0001616	-0.000203227
1540.716	1620.3	0.0024736	-0.000182202	-0.000203581
1548.758	1641.87	0.002501487	-0.000182202	-0.000203581
1558.344667	1670.63	0.002528908	-0.000182202	-0.000183227
1547.416	1656.24	0.002530073	-0.000181848	-0.000203227
1553.551333	1656.25	0.00252984	-0.000182202	-0.000203581
1555.461333	1677.82	0.002528675	-0.000181848	-0.000203227
1560.254667	1692.2	0.002557028	-0.000181848	-0.000203227
1571.876	1713.78	0.002555431	-0.000182202	-0.000203581
1571.876	1713.78	0.002555431	-0.000182202	-0.000203581
1572.728	1713.78	0.002584715	-0.000182202	-0.000203581
1583.859333	1749.73	0.00261167	-0.000182202	-0.000223943
1569.479333	1706.59	0.002585181	-0.000182202	-0.000223943
1593.449333	1778.5	0.002639091	-0.000182202	-0.000223943
1581.462667	1742.54	0.002612136	-0.000182202	-0.000223943
1579.066	1735.35	0.002612602	-0.000182202	-0.000203581
1586.621333	1771.3	0.00263979	-0.000202095	-0.000203227
1593.449333	1778.5	0.002639091	-0.00020245	-0.000223943
1591.052667	1771.31	0.002639557	-0.000182202	-0.000223943
1595.846	1785.69	0.00266791	-0.00020245	-0.000223943
1599.094667	1792.88	0.002696728	-0.00020245	-0.000223943
1595.846	1785.69	0.00266791	-0.00020245	-0.000223943
1601.491333	1800.07	0.002696263	-0.00020245	-0.000223943
