16-13				
p	q	astrain	rstrain1	rstrain2
2497.799436	4.735308	0	0	0
2500.19315	11.91645	-4.78E-07	-2.0234E-05	0
2500.19315	11.91645	-4.78E-07	0	0
2498.156083	19.08925	2.9229E-05	3.48E-07	3.48E-07
2507.374317	33.45995	2.8104E-05	-2.0234E-05	2.0341E-05
2514.555483	55.00345	2.6671E-05	0	0
2516.949183	62.18455	2.6194E-05	-2.0234E-05	0
2509.272683	54.99505	5.6855E-05	3.48E-07	3.48E-07
2520.194917	69.36575	5.573E-05	0	0
2526.52405	90.90915	8.4311E-05	0	0
2521.241283	90.90085	0.000084481	3.48E-07	3.48E-07
2534.5572	112.4526	0.000112892	0	0
2533.209867	126.8066	0.000112108	-1.9879E-05	3.48E-07
2534.061867	126.8066	0.000112108	3.48E-07	3.48E-07
2537.9972	141.1686	0.0001412	-1.9879E-05	3.48E-07
2548.067533	155.5396	0.000140041	-2.0234E-05	0
2550.4612	162.7206	0.000139563	-2.0234E-05	-2.0347E-05
2553.706867	169.9016	0.000139086	-2.0234E-05	0
2548.4242	169.8936	0.000169304	-1.9879E-05	3.48E-07
2554.7532	191.4366	0.000197885	-1.9879E-05	3.48E-07
2560.8882	191.4456	0.000197715	-2.0234E-05	0
2563.281867	198.6266	0.000197237	-2.0234E-05	0
2568.0692	212.9886	0.000196282	-2.0234E-05	0
2569.610867	220.1696	0.000225818	-2.0234E-05	0
2569.610867	220.1696	0.000195805	-2.0234E-05	0
2576.7922	241.7136	0.0002544	-2.0234E-05	-2.0347E-05
2582.431533	256.0756	0.000253445	-2.0234E-05	-2.0347E-05
2581.579533	256.0756	0.000253445	-2.0234E-05	-2.0347E-05
2592.006533	284.8006	0.000281548	-2.0234E-05	-2.0347E-05
2587.218867	270.4376	0.00025249	-2.0234E-05	-2.0347E-05
2591.154533	284.8006	0.000281548	-2.0234E-05	0
2592.006533	284.8006	0.000281548	-2.0234E-05	-2.0347E-05
2593.5482	291.9816	0.000311084	-2.0234E-05	-2.0347E-05
2588.265533	291.9736	0.000311289	-1.9879E-05	-2E-05
2603.9752	320.7066	0.000339222	-2.0234E-05	-2.0347E-05
2603.9752	320.7066	0.000339222	-2.0234E-05	0
2596.298533	313.5166	0.00033987	-1.9879E-05	-2E-05
2608.2672	349.4226	0.000337483	-4.0113E-05	-2E-05
2610.3042	342.2496	0.00033779	-2.0234E-05	-2.0347E-05
2612.697867	349.4306	0.000367326	-2.0234E-05	-2.0347E-05
2613.054533	363.7846	0.000366541	-1.9879E-05	-2E-05
2617.841867	378.1466	0.0003956	-1.9879E-05	-2E-05
2616.989867	378.1466	0.0003956	-4.0113E-05	-2E-05
2616.989867	378.1466	0.0003956	-4.0113E-05	-2E-05
2622.629533	392.5096	0.000424659	-1.9879E-05	-2E-05
2631.847533	406.8796	0.000453547	-4.0461E-05	-2.0347E-05
2629.810533	414.0526	0.00045324	-1.9879E-05	-2E-05
2642.274533	435.6046	0.000451637	-4.0461E-05	-2.0347E-05
2638.533533	442.7776	0.000481378	-1.9879E-05	-2E-05
2636.139867	435.5966	0.000451842	-4.0113E-05	-2E-05
2641.422533	435.6046	0.000481651	-2.0234E-05	-2.0347E-05
2646.209867	449.9666	0.000480696	-4.0461E-05	-2.0347E-05
2648.603867	457.1486	0.000480218	-4.0461E-05	-2.0347E-05
2654.2432	471.5106	0.000509311	-4.0461E-05	-2.0347E-05
2654.2432	471.5106	0.000509311	-4.0461E-05	-0.000040689
2653.3912	471.5106	0.000539325	-4.0461E-05	-2.0347E-05
2657.6832	500.2266	0.000567599	-4.0113E-05	-2E-05
2660.5722	493.0536	0.000537892	-4.0461E-05	-2.0347E-05
2663.8182	500.2356	0.000567428	-4.0461E-05	-0.000040689
2672.540867	528.9596	0.000565518	-4.0461E-05	-2.0347E-05
2662.470533	514.5886	0.000566644	-1.9879E-05	-4.0341E-05
2674.934533	536.1406	0.000595054	-4.0461E-05	-2.0347E-05
2672.045533	543.3136	0.000624761	-4.0113E-05	-4.0341E-05
2670.503867	536.1326	0.000625239	-4.0113E-05	-4.0341E-05
2682.115867	557.6846	0.000623636	-4.0461E-05	-2.0347E-05
2684.509533	564.8656	0.000653172	-4.0461E-05	-0.000040689
2679.226867	564.8576	0.000653376	-4.0113E-05	-4.0341E-05
2684.0142	579.2196	0.000652421	-4.0113E-05	-4.0341E-05
2694.084533	593.5906	0.000651262	-4.0461E-05	-0.000040689
2691.1952	600.7626	0.000681003	-4.0113E-05	-4.0341E-05
2696.4782	600.7716	0.000680832	-4.0461E-05	-0.000040689
2698.871867	607.9526	0.000680355	-4.0461E-05	-2.0347E-05
2703.6592	622.3146	0.000709413	-4.0461E-05	-0.000040689
2709.298867	636.6776	0.000708458	-4.0461E-05	-0.000040689
2708.446867	636.6776	0.000708458	-4.0461E-05	-0.000040689
2704.015867	636.6686	0.000738642	-4.0113E-05	-4.0341E-05
2713.2342	651.0396	0.000737517	-4.0461E-05	-0.000040689
2720.4152	672.5826	0.000766098	-4.0461E-05	-0.000040689
2721.2672	672.5826	0.000766098	-4.0461E-05	-0.000040689
2726.054867	686.9456	0.000795157	-4.0461E-05	-0.000040689
2719.919867	686.9366	0.000765314	-4.0113E-05	-4.0341E-05
2732.383867	708.4886	0.000793724	-4.0461E-05	-6.1036E-05
2727.1012	708.4806	0.000793929	-0.000060348	-4.0341E-05
2734.777533	715.6696	0.00082326	-6.0695E-05	-0.000040689
2725.559533	701.2996	0.00082442	-0.000060348	-4.0341E-05
2742.810867	737.2136	0.000821828	-6.0695E-05	-0.000040689
2734.2822	730.0236	0.000852524	-4.0113E-05	-4.0341E-05
2744.352533	744.3946	0.000851398	-4.0461E-05	-0.000040689
2746.250867	765.9296	0.00088015	-0.000060348	-4.0341E-05
2749.139867	758.7566	0.000850443	-6.0695E-05	-0.000040689
2754.283867	787.4726	0.000878717	-0.000060348	-6.0689E-05
2753.431867	787.4726	0.000878717	-0.000060348	-6.0689E-05
2754.283867	787.4726	0.000908731	-0.000060348	-6.0689E-05
2765.895867	809.0246	0.000907128	-6.0695E-05	-6.1036E-05
