16-6				
p	q	astrain	rstrain1	rstrain2
499.08344	1.57632	0	0	0
501.4934933	8.80648	-3.0757E-05	-0.000020221	0
512.45636	23.27508	-1.658E-06	-2.0582E-05	-3.61E-07
507.1655933	23.26678	-1.414E-06	-0.000020221	0
517.27646	37.73538	2.7685E-05	-2.0582E-05	-3.61E-07
511.9856933	37.72708	2.7929E-05	-0.000020221	0
518.8344933	44.96548	2.7213E-05	-2.0582E-05	-3.61E-07
518.3638267	59.41748	0.000026515	-0.000020221	0
518.3638267	59.41748	0.000026515	-0.000020221	0
523.1839267	73.87778	0.000025572	-4.0435E-05	0
520.77386	66.64758	5.6329E-05	-4.0435E-05	0
528.4746933	73.88608	5.5613E-05	-2.0582E-05	-3.61E-07
528.8560267	88.33808	5.4914E-05	-4.0435E-05	0
526.44596	81.10788	5.5386E-05	-0.000020221	0
525.59396	81.10788	5.5386E-05	-4.0435E-05	0
531.73676	81.11628	5.5141E-05	-2.0582E-05	-3.61E-07
528.0040267	88.33808	5.4914E-05	-4.0435E-05	0
528.0040267	88.33808	8.52E-05	-4.0435E-05	0
528.0040267	88.33808	8.52E-05	-4.0435E-05	0
532.8239667	102.7979	8.4257E-05	-4.0435E-05	0
535.2343	110.0289	0.000114071	-4.0435E-05	0
538.1149667	102.8069	0.000114302	-4.0796E-05	-3.61E-07
532.8239667	102.7979	0.000114543	-4.0435E-05	0
532.8239667	102.7979	0.000114543	-0.000020221	0
535.2343	110.0289	0.000083786	-4.0435E-05	0
538.4963	117.2589	0.0001136	-4.0435E-05	0
540.0543	124.4889	0.000113128	-4.0435E-05	0
538.4963	117.2589	0.0001136	-4.0435E-05	0
544.8743	138.9489	0.000142475	-4.0435E-05	0
542.4643	131.7189	0.000142946	-4.0435E-05	0
542.4643	131.7189	0.000142946	-4.0435E-05	0
540.0543	124.4889	0.000143417	-4.0435E-05	0
547.2843	146.1789	0.000172289	-4.0435E-05	-2.0334E-05
544.8743	138.9489	0.00017276	-4.0435E-05	0
548.1363	146.1789	0.000172289	-4.0435E-05	0
549.6943	153.4089	0.000171817	-4.0435E-05	-2.0334E-05
550.5463	153.4089	0.000171817	-4.0435E-05	0
549.6943	153.4089	0.000171817	-4.0435E-05	-2.0334E-05
549.6943	153.4089	0.000171817	-4.0435E-05	0
552.1046333	160.6399	0.000171346	-4.0435E-05	0
559.3346333	182.3299	0.000200217	-4.0435E-05	-2.0334E-05
562.2153	175.1079	0.000200444	-4.0796E-05	-3.61E-07
563.0673	175.1079	0.000200444	-4.0796E-05	-3.61E-07
562.2153	175.1079	0.000200444	-4.0796E-05	-3.61E-07
557.7766333	175.0999	0.000230974	-4.0435E-05	-2.0334E-05
556.9246333	175.0999	0.000230974	-4.0435E-05	-2.0334E-05
556.9246333	175.0999	0.000230974	-4.0435E-05	0
559.3346333	182.3299	0.000230503	-4.0435E-05	-2.0334E-05
561.7446333	189.5599	0.000260317	-4.0435E-05	0
570.2976333	196.7989	0.000259601	-4.0796E-05	-2.0695E-05
561.7446333	189.5599	0.000260317	-4.0435E-05	-2.0334E-05
561.7446333	189.5599	0.000260317	-4.0435E-05	0
561.7446333	189.5599	0.000230031	-4.0435E-05	-2.0334E-05
561.7446333	189.5599	0.000260317	-4.0435E-05	-2.0334E-05
561.7446333	189.5599	0.000260317	-4.0435E-05	-2.0334E-05
568.9749667	211.2509	0.000258903	-6.0656E-05	-2.0334E-05
568.9749667	211.2509	0.000289188	-6.0656E-05	-2.0334E-05
576.6756333	218.4889	0.000288476	-4.0796E-05	-2.0695E-05
574.6469667	225.7109	0.000318534	-6.0656E-05	-2.0334E-05
572.2369667	218.4809	0.000288717	-4.0435E-05	0
579.0856333	225.7189	0.000288005	-4.0796E-05	-2.0695E-05
574.6469667	225.7109	0.000288245	-4.0435E-05	-2.0334E-05
582.3476333	232.9489	0.000317819	-4.0796E-05	-2.0695E-05
573.7949667	225.7109	0.000318534	-4.0435E-05	-2.0334E-05
579.4669667	240.1709	0.000317592	-6.0656E-05	-2.0334E-05
586.3159667	247.4099	0.000347161	-4.0796E-05	-2.0695E-05
579.4669667	240.1709	0.000317592	-6.0656E-05	-2.0334E-05
581.0249667	247.4009	0.000347406	-6.0656E-05	-2.0334E-05
581.0249667	247.4009	0.000347406	-6.0656E-05	-2.0334E-05
581.0249667	247.4009	0.000347406	-6.0656E-05	-2.0334E-05
583.9059667	240.1799	0.000347633	-4.0796E-05	-2.0695E-05
589.1073	269.0919	0.000345991	-6.0656E-05	-2.0334E-05
593.5459667	269.0999	0.000345747	-6.1016E-05	-2.0695E-05
586.6973	261.8619	0.000346463	-6.0656E-05	-2.0334E-05
588.2553	269.0919	0.000376277	-4.0435E-05	-2.0334E-05
584.2873	254.6319	0.000346934	-6.0656E-05	-2.0334E-05
591.5173	276.3219	0.000375806	-4.0435E-05	0
588.2553	269.0919	0.000376277	-6.0656E-05	-2.0334E-05
591.5173	276.3219	0.000375806	-6.0656E-05	-2.0334E-05
591.5173	276.3219	0.000406091	-6.0656E-05	-2.0334E-05
593.0753	283.5519	0.000375334	-6.0656E-05	-2.0334E-05
596.8079667	276.3299	0.000375561	-6.1016E-05	-2.0695E-05
600.3056333	305.2429	0.000404206	-6.0656E-05	-2.0334E-05
597.8953	298.0119	0.000434963	-6.0656E-05	-2.0334E-05
597.8953	298.0119	0.000404677	-6.0656E-05	-2.0334E-05
598.7473	298.0119	0.000404677	-6.0656E-05	-2.0334E-05
603.1863	298.0209	0.000434718	-6.1016E-05	-2.0695E-05
600.3056333	305.2429	0.000434491	-6.0656E-05	-2.0334E-05
600.3056333	305.2429	0.000434491	-6.0656E-05	-2.0334E-05
597.8953	298.0119	0.000434963	-6.0656E-05	-2.0334E-05
603.5676333	312.4729	0.000464305	-6.0656E-05	-2.0334E-05
607.5356333	326.9329	0.000433077	-6.0656E-05	-2.0334E-05
610.4163	319.7109	0.000463593	-6.1016E-05	-2.0695E-05
616.0883	334.1709	0.00046265	-6.1016E-05	-2.0695E-05
608.3876333	326.9329	0.000463362	-6.0656E-05	-2.0334E-05
607.5356333	326.9329	0.000463362	-6.0656E-05	-2.0334E-05
610.7976333	334.1629	0.000462891	-6.0656E-05	-2.0334E-05
609.9456333	334.1629	0.000462891	-6.0656E-05	-2.0334E-05
612.3556333	341.3929	0.000492709	-6.0656E-05	-2.0334E-05
621.9959667	370.3139	0.000490823	-6.0656E-05	-4.0662E-05
622.4666333	355.8619	0.000491521	-6.1016E-05	-2.0695E-05
624.8766333	363.0919	0.000521336	-8.1237E-05	-4.1023E-05
618.0279667	355.8539	0.000522051	-6.0656E-05	-4.0662E-05
622.4666333	355.8619	0.000491521	-6.1016E-05	-4.1023E-05
623.3186333	355.8619	0.000521807	-6.1016E-05	-2.0695E-05
624.8766333	363.0919	0.000521336	-6.1016E-05	-4.1023E-05
628.1386333	370.3219	0.000520864	-6.1016E-05	-4.1023E-05
621.9959667	370.3139	0.000521108	-6.0656E-05	-4.0662E-05
622.8479667	370.3139	0.000551394	-6.0656E-05	-4.0662E-05
624.4059667	377.5439	0.000550923	-8.0876E-05	-4.0662E-05
627.6679667	384.7739	0.000550451	-8.0876E-05	-4.0662E-05
634.5169667	392.0129	0.000549735	-8.1237E-05	-4.1023E-05
634.5169667	392.0129	0.000549735	-8.1237E-05	-4.1023E-05
632.9586333	384.7819	0.000580492	-6.1016E-05	-4.1023E-05
634.5169667	392.0129	0.000549735	-8.1237E-05	-4.1023E-05
630.0779667	392.0039	0.000580265	-8.0876E-05	-4.0662E-05
634.0463	406.4649	0.000579323	-8.0876E-05	-4.0662E-05
631.6359667	399.2339	0.000579794	-6.0656E-05	-4.0662E-05
631.6359667	399.2339	0.000579794	-8.0876E-05	-4.0662E-05
637.3083	413.6949	0.000609137	-6.0656E-05	-4.0662E-05
642.5989667	413.7029	0.000578607	-8.1237E-05	-4.1023E-05
634.8983	406.4649	0.000579323	-8.0876E-05	-4.0662E-05
648.9769667	435.3929	0.000607478	-8.1237E-05	-4.1023E-05
644.1569667	420.9329	0.000608421	-8.1237E-05	-4.1023E-05
643.6863	435.3849	0.000607722	-8.0876E-05	-4.0662E-05
641.2763	428.1549	0.000608194	-8.0876E-05	-4.0662E-05
642.1283	428.1549	0.000608194	-8.0876E-05	-4.0662E-05
646.9483	442.6149	0.000637537	-8.0876E-05	-4.0662E-05
641.2763	428.1549	0.000608194	-8.0876E-05	-4.0662E-05
651.7686333	457.0759	0.000636594	-8.0876E-05	-4.0662E-05
619.5859667	363.0839	0.000582151	-8.0876E-05	-4.0662E-05
646.9483	442.6149	0.000667826	-8.0876E-05	-4.0662E-05
653.3266333	464.3059	0.000666411	-8.0876E-05	-6.0996E-05
648.5063	449.8449	0.000667354	-8.0876E-05	-4.0662E-05
660.5566333	485.9959	0.000695283	-8.0876E-05	-6.0996E-05
632.4879667	399.2339	0.000640365	-8.0876E-05	-4.0662E-05
651.7686333	457.0759	0.000666883	-8.0876E-05	-6.0996E-05
660.5566333	485.9959	0.000695283	-8.0876E-05	-4.0662E-05
648.9769667	435.3929	0.000668053	-8.1237E-05	-4.1023E-05
653.3266333	464.3059	0.000726983	-0.00010109	-6.0996E-05
646.0963	442.6149	0.000698111	-8.0876E-05	-4.0662E-05
646.0963	442.6149	0.000698111	-8.0876E-05	-4.0662E-05
648.5063	449.8449	0.00069764	-8.0876E-05	-4.0662E-05
655.7366333	471.5359	0.000726511	-8.0876E-05	-4.0662E-05
663.4373	478.7739	0.000725795	-8.1237E-05	-6.1357E-05
653.3266333	464.3059	0.000726983	-8.0876E-05	-6.0996E-05
656.5886333	471.5359	0.000726511	-8.0876E-05	-4.0662E-05
656.5886333	471.5359	0.000726511	-8.0876E-05	-6.0996E-05
670.6676333	500.4649	0.000724381	-8.1237E-05	-6.1357E-05
663.8186333	493.2259	0.000725097	-0.00010109	-6.0996E-05
667.7869667	507.6869	0.00075444	-8.0876E-05	-6.0996E-05
673.9296333	507.6949	0.000754195	-8.1237E-05	-6.1357E-05
670.1969667	514.9169	0.000753968	-0.00010109	-6.0996E-05
675.0169667	529.3769	0.000783311	-0.00010109	-6.0996E-05
675.8689667	529.3769	0.000783311	-0.00010109	-6.0996E-05
677.8976333	522.1549	0.000753252	-0.000101451	-6.1357E-05
670.1969667	514.9169	0.000784254	-8.0876E-05	-6.0996E-05
717.3106333	637.8379	0.000897141	-0.000101451	-6.1357E-05
646.0963	442.6149	0.000758682	-0.00010109	-6.0996E-05
661.0273	471.5439	0.000786838	-0.000101451	-6.1357E-05
660.5566333	485.9959	0.000816425	-0.00010109	-6.0996E-05
658.9986333	478.7659	0.000786611	-0.00010109	-6.0996E-05
706.8183	608.9169	0.000899027	-0.000101451	-6.1357E-05
666.2286333	500.4559	0.000815482	-0.00010109	-6.0996E-05
671.5196333	500.4649	0.000845527	-8.1237E-05	-6.1357E-05
667.7869667	507.6869	0.000815011	-0.00010109	-6.0996E-05
673.0776333	507.6949	0.00081477	-0.000101451	-6.1357E-05
658.9986333	478.7659	0.000816896	-0.00010109	-6.0996E-05
665.8473	486.0039	0.000816184	-0.000101451	-6.1357E-05
687.9193	565.5279	0.000871814	-0.00010109	-6.0996E-05
679.8369667	543.8369	0.000873228	-0.00010109	-6.0996E-05
682.2469667	551.0669	0.000872757	-0.00010109	-6.0996E-05
683.0989667	551.0669	0.000872757	-0.00010109	-6.0996E-05
651.7686333	457.0759	0.000818311	-8.0876E-05	-6.0996E-05
691.8873	579.9879	0.000901157	-0.000121311	-6.0996E-05
685.5093	558.2979	0.000872285	-0.00010109	-6.0996E-05
680.6889667	543.8369	0.000873228	-0.00010109	-6.0996E-05
688.3899667	551.0759	0.000872512	-0.000101451	-6.1357E-05
694.7679667	572.7659	0.000901384	-0.000101451	-6.1357E-05
687.0673	565.5279	0.0009021	-0.00010109	-6.0996E-05
682.2469667	551.0669	0.000872757	-0.00010109	-6.0996E-05
685.1279667	543.8459	0.000872984	-0.000101451	-6.1357E-05
743.8209667	717.3689	0.001013101	-0.000121672	-8.1684E-05
687.9193	565.5279	0.000932385	-0.00010109	-6.0996E-05
682.2469667	551.0669	0.000903042	-0.000121311	-6.0996E-05
685.1279667	543.8459	0.00090327	-0.000101451	-6.1357E-05
687.0673	565.5279	0.000932385	-0.00010109	-6.0996E-05
689.9479667	558.3059	0.000932612	-0.000101451	-6.1357E-05
695.1493	587.2179	0.000930971	-0.000121311	-8.1323E-05
701.9983	594.4569	0.000960541	-0.000121672	-6.1357E-05
697.5593	594.4479	0.000930499	-0.000121311	-8.1323E-05
695.1493	587.2179	0.000930971	-0.000121311	-6.0996E-05
703.9376333	616.1389	0.000959371	-0.000121311	-8.1323E-05
670.1969667	514.9169	0.0009054	-0.00010109	-6.0996E-05
706.3476333	623.3689	0.000989185	-0.000121311	-6.0996E-05
675.8689667	529.3769	0.000934742	-0.00010109	-6.0996E-05
737.6783	717.3609	0.001043631	-0.000121311	-8.1323E-05
697.5593	594.4479	0.000991071	-0.000121311	-8.1323E-05
704.7896333	616.1389	0.000989656	-0.000121311	-8.1323E-05
707.6703	608.9169	0.000989887	-0.000121672	-8.1684E-05
708.7576333	630.5989	0.000988713	-0.000121311	-8.1323E-05
684.6573	558.2979	0.000963142	-0.000121311	-6.0996E-05
735.2683	710.1309	0.001074388	-0.000121311	-8.1323E-05
697.1779667	579.9959	0.000991773	-0.000121672	-8.1684E-05
708.7576333	630.5989	0.001019002	-0.000121311	-8.1323E-05
717.3106333	637.8379	0.001018287	-0.000121672	-6.1357E-05
675.4876333	514.9249	0.00096573	-0.000121672	-6.1357E-05
668.6389667	507.6869	0.000966442	-0.00010109	-6.0996E-05
728.0379667	688.4399	0.001106088	-0.000121311	-8.1323E-05
713.5776333	645.0589	0.001048345	-0.000121311	-8.1323E-05
721.2786333	652.2979	0.001047629	-0.000121672	-8.1684E-05
703.9376333	616.1389	0.001050231	-0.000121311	-8.1323E-05
721.6599667	666.7499	0.001077217	-0.000121311	-8.1323E-05
715.9876333	652.2889	0.001047874	-0.000121311	-8.1323E-05
718.3979667	659.5199	0.001077688	-0.000121311	-8.1323E-05
718.3979667	659.5199	0.001077688	-0.000121311	-8.1323E-05
