16-14				
p	q	astrain	rstrain1	rstrain2
5004.979853	8.70556	0	0	0
5013.646867	37.2626	2.7454E-05	0	0
5023.165867	65.8196	2.5624E-05	-2.0241E-05	0
5023.494567	80.0897	2.4826E-05	3.41E-07	3.34E-07
5032.684867	94.3766	2.3827E-05	-2.0241E-05	0
5056.482333	165.769	4.8553E-05	-2.0241E-05	0
5070.761	208.605	7.5108E-05	-2.0241E-05	0
5074.997	237.153	7.3378E-05	-1.9906E-05	3.34E-07
5099.318	294.276	6.9651E-05	-2.0241E-05	0
5108.837	322.833	9.7105E-05	-2.0241E-05	0
5127.875	379.947	0.000122729	-4.0489E-05	-2.0349E-05
5132.634333	394.225	0.000121831	-4.0489E-05	-2.0349E-05
5137.394	408.504	0.000120932	-4.0489E-05	0
5133.486333	394.225	0.000121831	-4.0489E-05	-2.0349E-05
5132.111	408.495	0.000150316	-4.0154E-05	3.34E-07
5165.951	494.175	0.000174044	-4.0489E-05	-2.0349E-05
5155.908667	479.888	0.000175042	-4.0154E-05	-2.0014E-05
5156.432	465.618	0.000175841	-4.0489E-05	-2.0349E-05
5181.081333	537.01	0.000171315	-4.0489E-05	-2.0349E-05
5181.081333	537.01	0.000200599	-4.0489E-05	-2.0349E-05
5189.748333	565.567	0.000198769	-4.0489E-05	-2.0349E-05
5185.841	551.289	0.000199667	-4.0489E-05	-2.0349E-05
5184.465667	565.559	0.000228153	-4.0154E-05	-2.0014E-05
5208.786333	622.681	0.000224426	-4.0489E-05	-4.0697E-05
5203.503667	622.673	0.000253811	-4.0154E-05	-2.0014E-05
5199.267333	594.124	0.000226223	-4.0489E-05	-4.0697E-05
5213.546	636.96	0.000252779	-6.073E-05	-2.0349E-05
5227.824333	679.795	0.000279335	-6.073E-05	-4.0697E-05
5242.103	722.631	0.000276606	-6.073E-05	-4.0697E-05
5232.584	694.074	0.000278436	-6.073E-05	-6.1045E-05
5241.579667	736.901	0.000305092	-6.0395E-05	-4.0362E-05
5242.103	722.631	0.00030589	-6.073E-05	-4.0697E-05
5242.103	722.631	0.000335175	-6.073E-05	-4.0697E-05
5260.617667	794.015	0.000330716	-6.0395E-05	-4.0362E-05
5261.993	779.745	0.000360832	-6.073E-05	-4.0697E-05
5270.136667	822.572	0.000358203	-6.0395E-05	-4.0362E-05
5275.419333	822.58	0.000358103	-6.073E-05	-4.0697E-05
5275.419333	822.58	0.000387388	-6.073E-05	-4.0697E-05
5275.419333	822.58	0.000387388	-6.073E-05	-4.0697E-05
5289.698	865.416	0.000384659	-6.073E-05	-4.0697E-05
5290.55	865.416	0.000413944	-6.073E-05	-4.0697E-05
5303.976333	908.251	0.000411215	-6.073E-05	-6.1045E-05
5299.217	893.973	0.000441398	-8.0977E-05	-4.0697E-05
5299.217	893.973	0.000441398	-6.073E-05	-4.0697E-05
5327.774	979.644	0.000465225	-8.0977E-05	-6.1045E-05
5313.495333	936.808	0.000467954	-8.0977E-05	-6.1045E-05
5333.385333	993.922	0.000464326	-8.0977E-05	-6.1045E-05
5328.626	979.644	0.000465225	-8.0977E-05	-6.1045E-05
5327.774	979.644	0.000494509	-6.073E-05	-6.1045E-05
5327.774	979.644	0.000494509	-8.0977E-05	-6.1045E-05
5333.385333	993.922	0.000522895	-8.0977E-05	-6.1045E-05
5347.664667	1036.76	0.000520167	-8.0977E-05	-6.1045E-05
5351.049333	1065.31	0.000518436	-0.000080643	-6.071E-05
5357.181333	1065.31	0.000518336	-8.0977E-05	-6.1045E-05
5356.329333	1065.31	0.000547621	-8.0977E-05	-6.1045E-05
5370.609333	1108.15	0.000574177	-8.0977E-05	-6.1045E-05
5370.609333	1108.15	0.000574177	-8.0977E-05	-6.1045E-05
5384.889333	1150.99	0.000571448	-8.0977E-05	-8.146E-05
5375.369333	1122.43	0.000573278	-8.0977E-05	-8.146E-05
5380.458	1150.98	0.000600832	-0.000080643	-6.071E-05
5394.406	1179.54	0.000598935	-8.0977E-05	-8.146E-05
5404.778	1208.1	0.00062639	-8.0977E-05	-8.146E-05
5395.258	1179.54	0.00062822	-8.0977E-05	-8.146E-05
5408.162667	1236.65	0.000653944	-0.000080643	-8.1125E-05
5418.206	1250.94	0.000623661	-8.0977E-05	-8.146E-05
5413.446	1236.66	0.000653844	-0.000101225	-8.146E-05
5413.446	1236.66	0.000683128	-8.0977E-05	-8.146E-05
5419.058	1250.94	0.00068223	-0.000101225	-8.146E-05
5414.298	1236.66	0.000683128	-0.000101225	-8.146E-05
5433.334667	1293.77	0.000708786	-0.000101225	-8.146E-05
5442.002667	1322.33	0.000706955	-0.000101225	-8.146E-05
5422.439333	1279.48	0.000709784	-0.000100884	-8.1125E-05
5432.482667	1293.77	0.000708786	-8.0977E-05	-8.146E-05
5442.002667	1322.33	0.000706955	-0.000101225	-8.146E-05
5446.762667	1336.61	0.000764626	-0.000101225	-8.146E-05
5446.239333	1350.88	0.000763827	-0.000100884	-8.1125E-05
5465.799333	1393.72	0.000790283	-0.000101225	-8.146E-05
5451.522667	1350.89	0.000763727	-0.000101225	-0.000101808
5465.799333	1393.72	0.000790283	-0.000101225	-0.000101808
5470.888	1422.27	0.000817837	-0.000100884	-0.000101473
5471.411333	1408	0.000789351	-0.000101225	-8.146E-05
5475.319333	1422.28	0.000817737	-0.000101225	-0.000101808
5470.559333	1408	0.000789351	-0.000101225	-0.000101808
5475.319333	1422.28	0.000847022	-0.000101225	-0.000101808
5480.408	1450.83	0.000845291	-0.000100884	-0.000101473
5494.356	1479.39	0.000872679	-0.000101225	-0.000101808
5489.072667	1479.38	0.000872779	-0.000100884	-0.000101473
5493.832667	1493.66	0.000871847	-0.000100884	-8.1125E-05
5504.728	1507.95	0.000900133	-0.000101225	-0.000101808
5498.592667	1507.94	0.000900233	-0.000100884	-8.1125E-05
5499.116	1493.67	0.000901065	-0.000101225	-0.000101808
5513.396	1536.51	0.000927588	-0.000121466	-0.000101808
5509.488	1522.23	0.000928519	-0.000121466	-0.000101808
5522.912667	1565.06	0.000955075	-0.000121466	-0.000101808
5528.524667	1579.34	0.000924859	-0.000121466	-0.000101808
5518.152667	1550.78	0.000926689	-0.000121466	-0.000101808
5531.909333	1607.89	0.000981731	-0.000121131	-0.000101473
5533.284667	1593.62	0.000982529	-0.000121466	-0.000101808
5542.804667	1622.18	0.001010017	-0.000121466	-0.000101808
5546.712667	1636.46	0.001009085	-0.000121466	-0.000101808
5547.041333	1650.73	0.001008286	-0.000121131	-0.000101473
5547.564667	1636.46	0.001009085	-0.000121466	-0.000101808
5547.041333	1650.73	0.001037571	-0.000121131	-0.000101473
5570.509333	1707.85	0.001033811	-0.000121466	-0.000122156
5565.749333	1693.57	0.001034742	-0.000121466	-0.000122156
5570.509333	1707.85	0.001033811	-0.000121466	-0.000122156
5565.749333	1693.57	0.001064027	-0.000121466	-0.000122156
